id	created_at	favourite_count	retweet_count	length
858654431956672512	1493550544	93225	24076	140
858653541094879232	1493550331	65863	11445	115
858645405252374528	1493548392	38626	5744	84
858375971019399169	1493484154	0	10501	143
858375278686613504	1493483988	78014	19698	143
858343980823703553	1493476526	58245	10171	99
858148882756325379	1493430011	71531	14929	118
858147464846729217	1493429673	0	6996	140
858100088253669376	1493418378	83505	22954	144
858086278037950464	1493415085	34651	5229	76
857931397562085376	1493378159	79200	15503	138
857930456767111168	1493377935	0	8736	140
857726884045496325	1493329399	46192	10791	140
857711651952500737	1493325767	27612	5884	140
857670562478518273	1493315971	52470	11809	140
857605104417026049	1493300365	58649	14865	137
857605018266062848	1493300344	57423	14051	95
857604808676708353	1493300294	48086	11810	134
857604709829529601	1493300271	58777	13628	103
857604623531749376	1493300250	59116	12962	110
857604537003200512	1493300229	44470	9601	76
857557522584088576	1493289020	69141	17605	140
857555256003227648	1493288480	48277	9992	140
857552956836786177	1493287932	68823	15789	140
857370270776086528	1493244376	52090	15298	124
857360510534209536	1493242049	48203	9505	144
857335793261568000	1493236156	39426	8980	132
857295731929034753	1493226604	33066	7095	140
857246245672366081	1493214806	83380	17921	88
857185261029126144	1493200266	46368	9265	129
857182179469774848	1493199531	55160	12622	140
857180178736459776	1493199054	48026	10260	140
857177434210304001	1493198400	67276	17789	144
857014413081137154	1493159533	38993	8781	129
856928555179143168	1493139063	36042	7404	126
856849388026687492	1493120188	98040	25930	140
856847826663460865	1493119815	60888	14245	134
856830933709750272	1493115788	37588	6595	140
856606707463725057	1493062328	43352	10279	139
856557986474491904	1493050712	70367	13390	135
856556220911681539	1493050291	36921	7383	122
856531163799859201	1493044317	37197	7923	119
856484873133060101	1493033281	50636	11191	127
856481786938916865	1493032545	45669	8927	140
856234989591121922	1492973704	59534	11800	142
856233279841849344	1492973296	62420	11581	138
856172056932700164	1492958699	62729	14880	131
856171332521820165	1492958527	63188	16022	137
856150719656755200	1492953612	57408	12073	136
856147612952612864	1492952872	34078	4788	45
856146924705120256	1492952707	61633	16771	59
855901315305795584	1492894150	87555	17935	138
855859245023211520	1492884119	78675	14446	138
855817226078879748	1492874101	73358	16725	66
855816071663812608	1492873826	57571	11635	86
855814859069558784	1492873537	60771	10329	125
855803080310390784	1492870729	0	5339	131
855802920956243969	1492870691	0	7177	140
855626715707650048	1492828680	53592	10281	140
855582764418162690	1492818201	42015	9718	124
855576880048738304	1492816798	0	4901	148
855517053238870019	1492802534	74668	19292	62
855406847200768000	1492776259	64971	14206	140
855373184861962240	1492768233	72000	14555	144
855368516920332289	1492767121	73362	18419	137
855363343607103489	1492765887	0	8465	140
855172998747348998	1492720505	36546	6934	140
855142466034556928	1492713226	51524	11550	138
855055509455593472	1492692494	79708	18874	139
854870777287634944	1492648450	48122	9600	135
854793411110588418	1492630005	47346	10485	144
854749300114546688	1492619488	53135	12747	52
854676780527079425	1492602198	71331	15358	123
854547423464759296	1492571357	75583	15104	137
854438452661809152	1492545376	33358	6699	83
854433960566431746	1492544305	61751	16266	136
854284952539725828	1492508779	61406	15827	144
854283110191685634	1492508339	55792	14165	140
854270321620287490	1492505290	32992	4624	88
854268119774367745	1492504765	71257	17427	138
854157191053553666	1492478318	59971	13435	142
854102644394254341	1492465313	41423	8219	108
854101790886948866	1492465110	55166	10640	47
853965129024712704	1492432527	0	7542	66
853964023846588420	1492432263	59864	19133	139
853945633903923200	1492427879	81899	18317	138
853944453538750464	1492427597	52103	12395	95
853942936337350656	1492427236	74540	15954	133
853771244579282944	1492386301	62838	12642	140
853604334944354305	1492346507	102589	20442	103
853597199619543041	1492344806	93857	20922	98
853595628655587334	1492344431	69318	12244	139
853584968047636480	1492341889	183127	39818	25
853583417916755968	1492341520	71288	14776	130
853001499747725317	1492202780	0	17577	119
852985162870738944	1492198885	32930	7006	63
852722680851779584	1492136304	0	5761	115
852602568433950720	1492107667	73747	12846	124
852510810287075329	1492085790	109574	23948	144
852508752142114816	1492085300	111297	27763	140
852318522139168769	1492039945	137415	30475	138
852297935219982336	1492035037	93714	17588	118
852297762599313409	1492034996	63977	12006	138
852277347587952640	1492030128	51903	10613	144
852138509355933697	1491997027	70760	13023	144
852134796436398086	1491996142	90955	19284	97
851997299454742528	1491963360	40099	6156	74
851894518014238720	1491938855	43101	8630	142
851781714028494849	1491911960	57618	12136	141
851767718248361986	1491908623	133525	52268	138
851766546825347076	1491908344	80021	18873	137
851763890786635776	1491907711	0	6155	130
851584729400979456	1491864995	87842	16502	114
851555178910064640	1491857950	78460	15541	140
851247294854856706	1491784545	70592	14356	47
851092618754891781	1491747667	55599	10269	68
851092500056072198	1491747639	76223	15434	88
850800045012201473	1491677912	99688	18306	139
850785347038576640	1491674408	60494	11597	114
850723509370327040	1491659664	133032	26923	131
850722694958075905	1491659470	47841	7146	72
850722648883638272	1491659459	66002	10402	131
850489084221018113	1491603773	0	15064	140
850053194923298816	1491499849	59620	10653	140
849807049118625792	1491441163	82061	22721	65
849732911377117185	1491423488	66233	13015	143
849366930133839872	1491336231	48446	9060	111
849345573509574665	1491331139	47900	9349	144
849330281412792320	1491327493	37327	8315	75
849239946653290496	1491305956	0	11299	74
